编号	名称	一级数值	二级数值	三级数值	四级数值	五级数值	六级数值	七级数值	八级数值	九级数值	十级数值
id	name	yiJiShuZhi	erJiShuZhi	sanJiShuZhi	siJiShuZhi	wuJiShuZhi	liuJiShuZhi	qiJiShuZhi	baJiShuZhi	jiuJiShuZhi	shiJiShuZhi
int	string	string	string	string	string	string	string	string	string	string	string
25201	小白马	50|30|100	70|42|140	100|60|200	140|84|280	190|114|380	260|156|520	350|210|700	460|276|920	610|366|1220	810|486|1620
25202	枣红马	50|30|100	70|42|140	100|60|200	140|84|280	190|114|380	260|156|520	350|210|700	460|276|920	610|366|1220	810|486|1620
25203	黑马	50|30|100	70|42|140	100|60|200	140|84|280	190|114|380	260|156|520	350|210|700	460|276|920	610|366|1220	810|486|1620
25204	棕马	50|30|100	70|42|140	100|60|200	140|84|280	190|114|380	260|156|520	350|210|700	460|276|920	610|366|1220	810|486|1620
25205	青鬃马	100|60|200	140|84|280	200|120|400	280|168|560	380|228|760	520|312|1040	700|420|1400	920|552|1840	1220|732|2440	1620|972|3240
25206	追风驹	100|60|200	140|84|280	200|120|400	280|168|560	380|228|760	520|312|1040	700|420|1400	920|552|1840	1220|732|2440	1620|972|3240
25207	黄骠马	100|60|200	140|84|280	200|120|400	280|168|560	380|228|760	520|312|1040	700|420|1400	920|552|1840	1220|732|2440	1620|972|3240
25208	青花马	100|60|200	140|84|280	200|120|400	280|168|560	380|228|760	520|312|1040	700|420|1400	920|552|1840	1220|732|2440	1620|972|3240
25209	疾风	200|150|300	280|210|420	400|300|600	560|420|840	760|570|1140	1040|780|1560	1400|1050|2100	1840|1380|2760	2440|1830|3660	3240|2430|4860
25210	灰影	200|150|300	280|210|420	400|300|600	560|420|840	760|570|1140	1040|780|1560	1400|1050|2100	1840|1380|2760	2440|1830|3660	3240|2430|4860
25211	乌孙	200|150|300	280|210|420	400|300|600	560|420|840	760|570|1140	1040|780|1560	1400|1050|2100	1840|1380|2760	2440|1830|3660	3240|2430|4860
25212	绝尘	200|150|300	280|210|420	400|300|600	560|420|840	760|570|1140	1040|780|1560	1400|1050|2100	1840|1380|2760	2440|1830|3660	3240|2430|4860
25213	赤兔	500|500|400	650|650|500	850|850|650	1100|1100|850	1400|1400|1100	1800|1800|1450	2300|2300|1900	2900|2900|2450	3900|3900|3200	5400|5400|4200
25214	的卢	500|500|400	650|650|500	850|850|650	1100|1100|850	1400|1400|1100	1800|1800|1450	2300|2300|1900	2900|2900|2450	3900|3900|3200	5400|5400|4200
25215	绝影	500|500|400	650|650|500	850|850|650	1100|1100|850	1400|1400|1100	1800|1800|1450	2300|2300|1900	2900|2900|2450	3900|3900|3200	5400|5400|4200
25216	爪黄飞电	500|500|400	650|650|500	850|850|650	1100|1100|850	1400|1400|1100	1800|1800|1450	2300|2300|1900	2900|2900|2450	3900|3900|3200	5400|5400|4200
