编号	名称	封面士兵	军队	地图
id	name	fengMianShiBing	army	diTu
int	string	int	string	string
1	先锋部队1	20001	20001	huLaoMap
2	先锋部队2	20002	20002	huLaoMap
3	先锋部队3	20003	20003	huLaoMap
4	先锋部队4	20004	20004	huLaoMap
5	先锋部队5	20005	20005	huLaoMap
6	先锋部队6	20006	20001|20006|20007	huLaoMap
7	八路诸侯1	20001	20001	huLaoMap
8	八路诸侯2	20002	20002	huLaoMap
9	八路诸侯3	20003	20003	huLaoMap
10	八路诸侯4	20004	20004	huLaoMap
11	八路诸侯5	20005	20005	huLaoMap
12	八路诸侯6	20008	20001|20008|20009	huLaoMap
13	虎狼之师1	20002	20002|20002	huLaoMap
14	虎狼之师2	20003	20002|20003	huLaoMap
15	虎狼之师3	20004	20002|20004	huLaoMap
16	虎狼之师4	20003	20003|20003	huLaoMap
17	虎狼之师5	20005	20002|20005	huLaoMap
18	虎狼之师6	20006	20001|20002|20010|20011	huLaoMap
19	温酒斩华雄1	20004	20003|20004	huLaoMap
20	温酒斩华雄2	20005	20003|20005	huLaoMap
21	温酒斩华雄3	20004	20004|20004	huLaoMap
22	温酒斩华雄4	20005	20004|20005	huLaoMap
23	温酒斩华雄5	20005	20005|20005	huLaoMap
24	温酒斩华雄6	20012	20002|20003|20012	huLaoMap
25	三英战吕布1	20001	20001|20001|20001	huLaoMap
26	三英战吕布2	20002	20001|20001|20002	huLaoMap
27	三英战吕布3	20003	20001|20001|20003	huLaoMap
28	三英战吕布4	20004	20001|20001|20004	huLaoMap
29	三英战吕布5	20005	20001|20001|20005	huLaoMap
30	三英战吕布6	20013	20003|20003|20013	huLaoMap
